budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1000000,Artisan Entertainment,USA,Henry Bromell,Comedy,779137,Panic,R,19/10/2001,88,6.8,William H. Macy,7413,Henry Bromell,2000
0,British Broadcasting Corporation (BBC),Ireland,Gerard Stembridge,Comedy,151559,About Adam,R,21/03/2001,97,6,Stuart Townsend,5918,Gerard Stembridge,2000
0,Arts Council of England,UK,Bill Eagles,Comedy,55381,Beautiful Creatures,R,19/01/2001,86,5.9,Rachel Weisz,3150,Simon Donald,2000
0,ARP Sélection,France,Gérard Krawczyk,Action,729844,Taxi 2 - Alta tensión,NOT RATED,06/10/2000,88,6.4,Samy Naceri,43387,Luc Besson,2000
4500000,Keystone Family Pictures,Canada,Robert Vince,Comedy,1246237,MVP: Most Valuable Primate,PG,20/10/2000,93,3.8,Bernie,1908,Anne Vince,2000
0,Danmarks Radio (DR),Denmark,Lone Scherfig,Comedy,4447186,Italiano para principiantes,R,10/05/2002,112,7.1,Anders W. Berthelsen,11759,Maeve Binchy,2000
0,Solar Films,Finland,Aku Louhimies,Drama,16239,Restless,Not specified,28/01/2000,111,5.6,Mikko Nousiainen,3367,Aleksi Bardy,2000
0,Pandora Cinema,UK,Ben Elton,Comedy,8351,Maybe Baby,R,24/08/2001,104,5.7,Hugh Laurie,5148,Ben Elton,2000
1000000,"Culture Company, The",India,Khalid Mohamed,Action,623791,Fiza,Not specified,08/09/2000,170,6.1,Jaya Bhaduri,3131,Khalid Mohamed,2000
28000000,Gramercy Pictures (I),Germany,Marek Kanievska,Drama,5658940,El asalto,PG-13,14/04/2000,89,6.3,Paul Newman,4730,E. Max Frye,2000
5000000,Saban Entertainment,USA,Mamoru Hosoda,Animation,9628751,Digimon: The Movie,PG,06/10/2000,100,6,Lara Jill Miller,5625,Akiyoshi Hongo,2000
0,Fox 2000 Pictures,USA,Adam Collis,Comedy,3926,Sunset Strip,R,18/08/2000,90,5.7,Simon Baker,1314,Randall Jahnson,2000
