budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
25000000,Warner Bros.,USA,Andrzej Bartkowiak,Action,55973336,Romeo Must Die,R,22/03/2000,115,6.1,Jet Li,59814,Mitchell Kapner,2000
0,Australian Film Finance Corporation (AFFC),Australia,Andrew Dominik,Biography,234259,Chopper,UNRATED,05/04/2002,94,7.2,Eric Bana,32850,Mark Brandon Read,2000
1200000,Hart-Sharp Entertainment,USA,Kenneth Lonergan,Drama,9180275,You Can Count on Me,R,22/12/2000,111,7.7,Laura Linney,24362,Kenneth Lonergan,2000
54000000,Dimension Films,USA,Patrick Lussier,Action,33022767,Dracula 2000,R,22/12/2000,99,4.9,Gerard Butler,28622,Joel Soisson,2000
65000000,Metro-Goldwyn-Mayer (MGM),USA,Joan Chen,Drama,37752931,Autumn in New York,PG-13,11/08/2000,103,5.5,Richard Gere,21504,Allison Burnett,2000
43000000,Columbia Pictures Corporation,USA,Gus Van Sant,Drama,51804714,Finding Forrester,PG-13,12/01/2001,136,7.3,Sean Connery,75692,Mike Rich,2000
75000000,David Kirschner Productions,USA,Don Bluth,Animation,22751979,Titan A.E.,PG,16/06/2000,94,6.6,Matt Damon,54115,Hans Bauer,2000
8000000,Saturn Films,UK,E. Elias Merhige,Drama,8279017,Shadow of the Vampire,R,26/01/2001,92,6.9,John Malkovich,35600,Steven Katz,2000
32000000,Columbia Pictures Corporation,USA,David Raynr,Comedy,8735529,Whatever It Takes,PG-13,24/03/2000,94,5.5,Shane West,8432,Mark Schwahn,2000
45000000,New Line Cinema,USA,Courtney Solomon,Action,15220685,Dungeons & Dragons,PG-13,08/12/2000,107,3.6,Justin Whalin,28683,Topper Lilien,2000
76000000,Capella International,USA,Des McAnuff,Animation,26000610,The Adventures of Rocky & Bullwinkle,PG,30/06/2000,92,4.2,Robert De Niro,17406,Jay Ward,2000
0,El Mar Pictures,USA,Julian Schnabel,Biography,4221817,Antes que anochezca,R,23/02/2001,133,7.3,Javier Bardem,21732,Cunningham O'Keefe,2000
60000000,Paramount Pictures,UK,William Friedkin,Drama,61335230,Rules of Engagement,R,07/04/2000,128,6.4,Tommy Lee Jones,39436,Jim Webb,2000
42000000,Dimension Films,USA,John Frankenheimer,Action,23360779,Reindeer Games,R,25/02/2000,104,5.7,Ben Affleck,33094,Ehren Kruger,2000
80000000,Warner Bros.,USA,Antony Hoffman,Action,17480890,Red Planet,PG-13,10/11/2000,106,5.7,Val Kilmer,49905,Chuck Pfarrer,2000
85000000,Cruella Productions,USA,Kevin Lima,Adventure,66957026,102 Dalmatians,G,22/11/2000,100,4.8,Glenn Close,28524,Dodie Smith,2000
35000000,Avrora Media,Germany,Uli Edel,Adventure,13555988,The Little Vampire,PG,27/10/2000,95,5.7,Jonathan Lipnicki,7879,Angela Sommer-Bodenburg,2000
10000000,Haft Entertainment,USA,Joel Schumacher,Drama,139692,Tigerland,R,24/05/2001,101,7,Colin Farrell,34628,Ross Klavan,2000
20000000,Branti Film Productions,USA,Amy Heckerling,Comedy,15618626,Loser,PG-13,21/07/2000,98,5.3,Jason Biggs,23989,Amy Heckerling,2000
90000000,Hammerhead Productions,USA,Walter Hill,Horror,14218868,Supernova,PG-13,14/01/2000,90,4.8,James Spader,15330,William Malone,2000
25000000,Revelations Entertainment,France,Stephen Hopkins,Crime,258691,Bajo sospecha,R,10/08/2001,110,6.5,Morgan Freeman,19265,John Wainwright,2000
55000000,British Broadcasting Corporation (BBC),USA,Curtis Hanson,Comedy,19389454,Wonder Boys,R,25/02/2000,107,7.4,Michael Douglas,56555,Michael Chabon,2000
65000000,Chester Films Inc.,USA,Jon Turteltaub,Comedy,69691949,The Kid,PG,07/07/2000,104,6.1,Bruce Willis,36128,Audrey Wells,2000
63600000,Morgan Creek Productions,USA,Stephen Kay,Action,14967182,Get Carter,R,06/10/2000,102,5.1,Sylvester Stallone,28856,Ted Lewis,2000
24000000,Metro-Goldwyn-Mayer (MGM),USA,Bonnie Hunt,Comedy,32662299,Return to Me,PG,07/04/2000,115,6.9,David Duchovny,17212,Bonnie Hunt,2000
